t,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.0240,1.0160,1.0160,0.0684,-0.0580,-0.0280,0.0230,0.0,
0.014,0.0238,1.0137,1.0137,0.0167,0.0060,-0.0120,0.0100,0.0,
0.032,0.0309,1.0158,1.0158,0.0278,0.0230,-0.0100,0.0120,0.0,
0.052,0.0131,1.0127,1.0127,0.0397,-0.0330,-0.0140,0.0170,0.0,
0.072,0.0134,1.0087,1.0087,0.0848,-0.0790,-0.0300,0.0070,0.0,
0.092,0.0084,0.9947,0.9947,0.0778,-0.0710,-0.0290,-0.0130,0.0,
0.112,0.0113,0.9934,0.9934,0.0448,-0.0010,-0.0410,-0.0180,0.0,
0.132,0.0210,0.9917,0.9917,0.0638,0.0540,-0.0340,-0.0020,0.0,
0.152,0.0185,0.9974,0.9974,0.1000,0.0820,-0.0570,0.0050,0.0,
0.172,0.0328,0.9942,0.9942,0.0743,0.0440,-0.0590,-0.0100,0.0,
0.217,0.0199,0.9974,0.9974,0.0657,0.0420,-0.0500,-0.0070,0.0,
0.217,0.0172,0.9974,0.9974,0.0555,0.0400,-0.0340,0.0180,0.0,
0.296,0.0258,0.9968,0.9968,0.0321,0.0100,-0.0120,0.0280,0.0,
0.296,0.0190,1.0036,1.0036,0.0230,-0.0010,0.0010,0.0230,0.0,
0.296,0.0108,1.0027,1.0027,0.0161,0.0050,0.0150,0.0030,0.0,
0.296,0.0108,1.0049,1.0049,0.0384,-0.0320,0.0160,-0.0140,0.0,
0.313,0.0138,1.0139,1.0139,0.0294,-0.0240,0.0170,0.0000,0.0,
0.416,0.0171,1.0154,1.0154,0.0085,0.0000,0.0060,0.0060,0.0,
0.502,0.0178,1.0026,1.0026,0.0280,-0.0110,0.0060,0.0250,0.0,
0.502,0.0090,1.0075,1.0075,0.0538,-0.0320,0.0050,0.0430,0.0,
0.502,0.0093,1.0073,1.0073,0.0359,0.0180,0.0110,0.0290,0.0,
0.502,0.0274,1.0030,1.0030,0.0608,0.0570,0.0210,-0.0030,0.0,
0.502,0.0224,0.9980,0.9980,0.0724,0.0590,0.0420,-0.0010,0.0,
0.502,0.0086,0.9975,0.9975,0.0740,0.0220,0.0680,0.0190,0.0,
0.502,0.0105,0.9903,0.9903,0.0981,-0.0060,0.0880,0.0430,0.0,
0.502,0.0189,0.9816,0.9816,0.1344,-0.0160,0.1160,0.0660,0.0,
0.548,0.0236,0.9778,0.9778,0.1450,-0.0030,0.1280,0.0680,0.0,
0.548,0.0234,0.9819,0.9819,0.1617,-0.0040,0.1410,0.0790,0.0,
0.557,0.0124,0.9879,0.9879,0.1850,0.0030,0.1550,0.1010,0.0,
0.575,0.0089,0.9964,0.9964,0.1947,-0.0010,0.1450,0.1300,0.0,
0.594,0.0127,0.9922,0.9922,0.1930,-0.0150,0.1180,0.1520,0.0,
0.613,0.0256,0.9898,0.9898,0.1857,-0.0150,0.0930,0.1600,0.0,
0.679,0.0176,0.9936,0.9936,0.1510,0.0060,0.0730,0.1320,0.0,
0.679,0.0114,1.0058,1.0058,0.1259,0.0380,0.0720,0.0960,0.0,
0.679,0.0233,1.0133,1.0133,0.1160,0.0580,0.0730,0.0690,0.0,
0.696,0.0312,1.0178,1.0178,0.0947,0.0370,0.0570,0.0660,0.0,
0.715,0.0330,1.0228,1.0228,0.0971,0.0600,0.0280,0.0710,0.0,
0.733,0.0315,1.0210,1.0210,0.1081,0.0640,0.0050,0.0870,0.0,
0.759,0.0305,1.0203,1.0203,0.0865,0.0230,-0.0150,0.0820,0.0,
0.779,0.0367,1.0264,1.0264,0.0821,0.0060,-0.0370,0.0730,0.0,
0.795,0.0257,1.0179,1.0179,0.0904,0.0030,-0.0420,0.0800,0.0,
0.814,0.0129,1.0095,1.0095,0.0711,0.0270,-0.0270,0.0600,0.0,
0.833,0.0102,0.9999,0.9999,0.0779,0.0630,-0.0130,0.0440,0.0,
0.856,0.0189,1.0068,1.0068,0.0993,0.0720,-0.0180,0.0660,0.0,
0.873,0.0144,0.9982,0.9982,0.0543,-0.0050,0.0020,0.0540,0.0,
0.894,0.0191,1.0046,1.0046,0.0624,-0.0130,0.0110,0.0600,0.0,
0.915,0.0127,0.9988,0.9988,0.0574,-0.0170,0.0340,0.0430,0.0,
0.934,0.0264,1.0091,1.0091,0.0742,-0.0290,0.0580,0.0360,0.0,
0.956,0.0064,1.0064,1.0064,0.0659,-0.0390,0.0510,0.0150,0.0,
0.974,0.0186,1.0012,1.0012,0.0327,-0.0310,0.0090,0.0050,0.0,
0.994,0.0289,0.9945,0.9945,0.0685,-0.0310,-0.0610,-0.0020,0.0,
1.014,0.0251,0.9909,0.9909,0.1446,-0.0620,-0.1250,0.0380,0.0,
1.034,0.0154,0.9916,0.9916,0.2682,-0.1500,-0.1970,0.1030,0.0,
1.054,0.0378,0.9672,0.9672,0.3443,-0.1570,-0.1990,0.2330,0.0,
1.074,0.0437,0.9568,0.9568,0.5247,-0.3150,-0.2460,0.3400,0.0,
1.094,0.0282,0.9785,0.9785,0.6094,-0.3450,-0.2830,0.4150,0.0,
1.114,0.0300,1.0011,1.0011,0.5361,-0.2690,-0.2330,0.4010,0.0,
1.142,0.0544,0.9569,0.9569,0.9494,0.0180,-0.4060,0.8580,0.0,
1.157,0.0055,1.0019,1.0019,0.8468,0.0690,-0.0920,0.8390,0.0,
1.174,0.0763,0.9615,0.9615,0.7270,-0.0230,0.1760,0.7050,0.0,
1.194,0.0945,0.9700,0.9700,1.1255,-0.8090,-0.7140,0.3200,0.0,
1.214,0.2355,0.8503,0.8503,0.9509,-0.9130,-0.1640,0.2090,0.0,
1.236,0.1017,1.0076,1.0076,0.8246,-0.6040,-0.0220,0.5610,0.0,
1.254,0.0983,0.9535,0.9535,1.4298,-1.3060,-0.1620,0.5590,0.0,
1.274,0.1936,0.9581,0.9581,1.5629,-1.4400,-0.4520,0.4060,0.0,
1.294,0.1110,1.0397,1.0397,1.7305,-1.2630,-0.4620,1.0890,0.0,
1.314,0.0936,1.0733,1.0733,2.0779,-1.4140,-0.2310,1.5050,0.0,
1.334,0.1599,1.1312,1.1312,1.6157,-1.5950,0.1540,0.2070,0.0,
1.354,0.2613,1.0889,1.0889,1.0414,-0.9560,0.1930,-0.3650,0.0,
1.375,0.1850,1.0316,1.0316,0.3043,-0.0740,-0.1170,0.2710,0.0,
1.395,0.1253,0.9784,0.9784,0.1957,0.1460,-0.1020,0.0810,0.0,
1.415,0.1042,1.0463,1.0463,0.1411,0.1350,0.0300,0.0280,0.0,
1.434,0.0655,1.0290,1.0290,0.0899,0.0270,0.0850,-0.0110,0.0,
1.455,0.0396,0.9893,0.9893,0.1393,-0.0790,0.1110,-0.0290,0.0,
1.476,0.0590,0.9889,0.9889,0.2362,-0.1830,0.1490,-0.0090,0.0,
1.495,0.0663,1.0175,1.0175,0.2835,-0.2140,0.1860,0.0000,0.0,
1.515,0.0693,1.0318,1.0318,0.2682,-0.1440,0.2260,0.0100,0.0,
1.535,0.0655,1.0371,1.0371,0.2664,-0.0500,0.2610,0.0180,0.0,
1.557,0.0506,1.0340,1.0340,0.3019,-0.0380,0.2990,0.0170,0.0,
1.575,0.0377,1.0216,1.0216,0.3474,-0.1280,0.3230,0.0010,0.0,
1.595,0.0501,1.0219,1.0219,0.4323,-0.1680,0.3980,-0.0160,0.0,
1.616,0.0561,1.0488,1.0488,0.4503,-0.1270,0.4300,-0.0420,0.0,
1.635,0.0437,1.0404,1.0404,0.4454,-0.0300,0.4410,-0.0550,0.0,
1.655,0.0464,1.0293,1.0293,0.4813,0.0270,0.4740,-0.0790,0.0,
1.675,0.0558,1.0454,1.0454,0.5034,0.1090,0.4830,-0.0910,0.0,
1.695,0.0340,1.0200,1.0200,0.4986,0.1430,0.4660,-0.1050,0.0,
1.715,0.0291,0.9978,0.9978,0.4568,0.1080,0.4270,-0.1210,0.0,
1.735,0.0305,0.9839,0.9839,0.3765,0.0110,0.3620,-0.1030,0.0,
1.758,0.0250,0.9912,0.9912,0.3250,-0.1170,0.2940,-0.0740,0.0,
1.786,0.0274,1.0118,1.0118,0.2768,-0.1390,0.2320,-0.0590,0.0,
1.795,0.0270,1.0197,1.0197,0.1849,-0.0100,0.1720,-0.0670,0.0,
1.815,0.0591,1.0529,1.0529,0.2556,0.1990,0.1520,-0.0510,0.0,
1.836,0.1301,1.1037,1.1037,0.4851,0.4280,0.2170,-0.0710,0.0,
1.857,0.1355,1.0929,1.0929,0.6488,0.5830,0.2770,-0.0660,0.0,
1.875,0.1419,1.0938,1.0938,0.8063,0.7200,0.3580,-0.0600,0.0,
1.895,0.1461,1.0714,1.0714,0.9573,0.8350,0.4680,-0.0150,0.0,
1.915,0.1043,1.0347,1.0347,1.1114,0.9690,0.5440,0.0180,0.0,
1.936,0.0480,0.9975,0.9975,1.3985,1.2740,0.5730,0.0670,0.0,
1.958,0.0339,0.9693,0.9693,1.9617,1.8810,0.5490,0.0930,0.0,
1.976,0.1554,0.9626,0.9626,2.6501,2.5820,0.5930,0.0680,0.0,
1.996,0.1854,0.9794,0.9794,3.0688,3.0130,0.5800,0.0550,0.0,
2.016,0.0992,0.9709,0.9709,2.8571,2.8060,0.5350,0.0560,0.0,
2.036,0.1065,0.9178,0.9178,2.1240,2.0630,0.5050,0.0210,0.0,
2.057,0.1670,0.9061,0.9061,1.2267,1.1620,0.3920,0.0280,0.0,
2.076,0.1389,0.9806,0.9806,0.8786,0.8630,0.1030,0.1290,0.0,
2.096,0.1588,0.9769,0.9769,1.1523,1.0950,-0.0010,0.3590,0.0,
2.116,0.1856,0.9370,0.9370,1.3969,1.3370,-0.1000,0.3920,0.0,
2.136,0.1216,0.9565,0.9565,1.0698,0.9750,-0.1320,0.4200,0.0,
2.157,0.1448,0.9698,0.9698,0.5246,0.3880,-0.1380,0.3250,0.0,
2.176,0.0889,0.9669,0.9669,0.5114,0.4750,-0.0490,0.1830,0.0,
2.196,0.1198,0.9928,0.9928,0.6877,0.6830,0.0740,-0.0320,0.0,
2.216,0.0978,1.0098,1.0098,0.6557,0.6500,0.0740,-0.0450,0.0,
2.236,0.0644,1.0183,1.0183,0.3558,0.3200,0.1400,-0.0680,0.0,
2.257,0.0729,0.9957,0.9957,0.2125,0.0610,0.0970,-0.1790,0.0,
2.276,0.0323,1.0124,1.0124,0.3483,0.2850,0.1450,-0.1380,0.0,
2.296,0.0456,0.9918,0.9918,0.4835,0.4460,0.1470,-0.1150,0.0,
2.316,0.0466,0.9866,0.9866,0.3759,0.3240,0.0970,-0.1640,0.0,
2.336,0.0329,0.9921,0.9921,0.3015,0.2200,0.1040,-0.1780,0.0,
2.364,0.0443,1.0061,1.0061,0.2447,0.1870,0.0710,-0.1410,0.0,
2.377,0.0257,0.9987,0.9987,0.1604,0.1060,0.0640,-0.1020,0.0,
2.396,0.0279,0.9983,0.9983,0.1584,0.1100,0.0840,-0.0770,0.0,
2.417,0.0508,0.9791,0.9791,0.1735,0.1250,0.1170,-0.0280,0.0,
2.436,0.0625,1.0107,1.0107,0.1626,0.1160,0.1090,-0.0330,0.0,
2.458,0.0707,1.0309,1.0309,0.0945,0.0520,0.0610,-0.0500,0.0,
2.476,0.0371,1.0340,1.0340,0.0982,0.0820,0.0540,-0.0030,0.0,
2.496,0.0352,1.0080,1.0080,0.0103,0.0090,0.0040,-0.0030,0.0,
2.517,0.0439,1.0000,1.0000,0.1363,0.1280,-0.0260,-0.0390,0.0,
2.536,0.0480,0.9886,0.9886,0.1697,0.1430,-0.0550,-0.0730,0.0,
2.557,0.0150,0.9957,0.9957,0.0965,0.0170,-0.0480,-0.0820,0.0,
2.577,0.0543,1.0008,1.0008,0.1056,-0.0420,-0.0360,-0.0900,0.0,
2.597,0.0542,1.0296,1.0296,0.1110,-0.0440,-0.0370,-0.0950,0.0,
2.617,0.0436,1.0259,1.0259,0.0941,0.0160,-0.0680,-0.0630,0.0,
2.637,0.0582,1.0198,1.0198,0.1371,-0.0080,-0.0800,-0.1110,0.0,
2.658,0.0384,1.0111,1.0111,0.1579,-0.0500,-0.0910,-0.1190,0.0,
2.677,0.0470,1.0280,1.0280,0.1617,-0.0820,-0.1010,-0.0960,0.0,
2.697,0.0499,1.0109,1.0109,0.1703,-0.0940,-0.0790,-0.1180,0.0,
2.717,0.0645,1.0156,1.0156,0.2155,-0.1270,-0.0730,-0.1580,0.0,
2.737,0.0547,1.0216,1.0216,0.1761,-0.0340,-0.0600,-0.1620,0.0,
2.758,0.0512,1.0197,1.0197,0.2251,-0.1250,-0.0550,-0.1790,0.0,
2.777,0.0546,1.0323,1.0323,0.3108,-0.2330,-0.0590,-0.1970,0.0,
2.797,0.0486,1.0297,1.0297,0.3430,-0.2570,-0.0790,-0.2130,0.0,
2.817,0.0621,1.0510,1.0510,0.3989,-0.2980,-0.1370,-0.2270,0.0,
2.837,0.0819,1.0562,1.0562,0.3375,-0.1820,-0.2030,-0.1990,0.0,
2.858,0.0777,1.0368,1.0368,0.4224,-0.2160,-0.2840,-0.2260,0.0,
2.877,0.0805,1.0354,1.0354,0.4531,-0.2230,-0.3370,-0.2050,0.0,
2.897,0.0981,1.0482,1.0482,0.5623,-0.2900,-0.4030,-0.2640,0.0,
2.917,0.1475,1.0486,1.0486,0.6860,-0.3590,-0.4690,-0.3490,0.0,
2.937,0.1749,1.0583,1.0583,0.8948,-0.5240,-0.5640,-0.4560,0.0,
2.958,0.1168,1.0677,1.0677,1.0406,-0.5440,-0.6660,-0.5860,0.0,
2.977,0.1494,1.0683,1.0683,1.2364,-0.5470,-0.7740,-0.7940,0.0,
2.997,0.1748,1.0912,1.0912,1.2406,-0.4350,-0.7790,-0.8620,0.0,
3.017,0.1695,1.1007,1.1007,1.3485,-0.3510,-0.8550,-0.9820,0.0,
3.037,0.1956,1.1233,1.1233,1.2104,-0.0970,-0.7650,-0.9330,0.0,
3.062,0.1327,1.0357,1.0357,1.6479,-0.3450,-0.8450,-1.3720,0.0,
3.078,0.1888,1.1065,1.1065,1.7282,-0.5760,-0.8200,-1.4080,0.0,
3.097,0.2679,1.1933,1.1933,1.8558,-0.3080,-0.9320,-1.5750,0.0,
3.118,0.2616,1.0704,1.0704,1.8443,0.4580,-1.0080,-1.4750,0.0,
3.139,0.1018,1.0643,1.0643,1.9804,0.2770,-1.1180,-1.6110,0.0,
3.164,0.1069,1.0678,1.0678,1.8605,-0.5460,-0.9650,-1.4940,0.0,
3.178,0.1639,1.0756,1.0756,2.3606,-1.5580,-0.8170,-1.5740,0.0,
3.198,0.1733,1.1174,1.1174,2.2516,-1.6070,-0.5940,-1.4610,0.0,
3.218,0.1588,1.1566,1.1566,1.5474,-0.8020,-0.5930,-1.1830,0.0,
3.238,0.1435,1.1358,1.1358,1.2156,-0.1710,-0.5900,-1.0490,0.0,
3.263,0.2105,1.1860,1.1860,1.1678,-0.4650,-0.4280,-0.9820,0.0,
3.280,0.3631,1.2232,1.2232,1.6508,-1.3500,-0.1990,-0.9290,0.0,
3.298,0.4438,1.2203,1.2203,2.3225,-2.1780,0.0630,-0.8040,0.0,
3.318,0.4370,1.1796,1.1796,2.5943,-2.4790,0.4560,-0.6140,0.0,
3.338,0.3830,1.0221,1.0221,2.3941,-2.1900,0.7270,-0.6380,0.0,
3.359,0.2707,1.0244,1.0244,1.7842,-1.4450,0.8610,-0.5950,0.0,
3.378,0.2132,1.0429,1.0429,1.2661,-0.6990,0.9350,-0.4900,0.0,
3.398,0.2709,1.0240,1.0240,1.0855,0.1460,1.0300,-0.3100,0.0,
3.418,0.2279,0.8998,0.8998,1.3258,0.6590,1.1450,-0.1110,0.0,
3.438,0.2279,0.7907,0.7907,1.6450,0.6990,1.4800,-0.1640,0.0,
3.460,0.3379,0.7010,0.7010,2.0711,0.5620,1.9930,-0.0420,0.0,
3.478,0.4354,0.6312,0.6312,2.1888,0.3240,2.1640,0.0540,0.0,
3.498,0.4384,0.6419,0.6419,2.1049,-0.0250,2.1040,0.0570,0.0,
3.518,0.2921,0.7672,0.7672,2.2951,-0.0970,2.2930,0.0060,0.0,
3.538,0.1928,0.8071,0.8071,2.4549,-0.0700,2.4520,0.0960,0.0,
3.560,0.1773,0.8290,0.8290,2.3828,-0.2870,2.3570,0.2000,0.0,
3.579,0.2346,0.8093,0.8093,2.3234,-0.6720,2.2150,0.2010,0.0,
3.598,0.2539,0.8012,0.8012,2.2590,-0.9350,2.0450,0.2160,0.0,
3.618,0.1793,0.9303,0.9303,2.0567,-0.9750,1.8080,0.1020,0.0,
3.639,0.2238,1.0286,1.0286,1.4859,-0.4350,1.4200,0.0480,0.0,
3.660,0.2896,1.0472,1.0472,1.1734,0.5950,1.0110,0.0280,0.0,
3.679,0.3306,1.1852,1.1852,1.0144,0.8120,0.6000,0.0980,0.0,
3.699,0.0871,1.0645,1.0645,0.6064,0.2370,0.5580,0.0120,0.0,
3.719,0.1656,1.0220,1.0220,0.4262,-0.0570,0.3880,0.1670,0.0,
3.739,0.1097,0.9289,0.9289,0.5712,0.2110,0.5080,0.1540,0.0,
3.761,0.1306,0.9117,0.9117,0.9012,0.6920,0.5140,0.2630,0.0,
3.779,0.0892,0.9205,0.9205,0.7248,0.4700,0.4850,0.2630,0.0,
3.799,0.1146,0.9682,0.9682,0.6370,-0.1720,0.5550,0.2610,0.0,
3.820,0.1429,0.9038,0.9038,0.8356,-0.3820,0.7200,0.1840,0.0,
3.839,0.1745,0.9186,0.9186,0.8118,0.5540,0.5530,0.2150,0.0,
3.861,0.2539,1.0024,1.0024,0.7350,0.5930,0.3040,0.3100,0.0,
3.879,0.1361,1.0557,1.0557,0.7325,-0.6120,0.3130,0.2530,0.0,
3.899,0.2778,1.0948,1.0948,0.7974,-0.7580,-0.0140,0.2470,0.0,
3.919,0.2273,1.0737,1.0737,0.4294,-0.0030,-0.2760,0.3290,0.0,
3.939,0.3206,1.1542,1.1542,0.8489,0.4980,-0.6100,0.3170,0.0,
3.960,0.1406,1.0285,1.0285,1.0500,0.9030,-0.4090,0.3460,0.0,
3.979,0.1306,0.8918,0.8918,0.8029,0.7200,-0.1950,0.2970,0.0,
3.999,0.1086,1.0247,1.0247,1.2771,1.0850,-0.3620,0.5680,0.0,
4.019,0.2341,1.1831,1.1831,0.6938,-0.0840,-0.3650,0.5840,0.0,
4.039,0.1414,0.9734,0.9734,0.5524,-0.0620,-0.4530,0.3100,0.0,
4.065,0.3273,0.7367,0.7367,1.4035,1.3660,-0.1700,0.2740,0.0,
4.079,0.3591,0.8776,0.8776,2.0527,1.9820,-0.0370,0.5330,0.0,
4.099,0.1194,1.0524,1.0524,1.0017,0.9020,-0.3320,0.2820,0.0,
4.119,0.5161,1.1465,1.1465,1.1157,0.1830,-0.1110,1.0950,0.0,
4.140,0.6103,1.0942,1.0942,1.9910,-1.8670,0.0710,0.6880,0.0,
4.165,0.2332,1.1268,1.1268,1.2413,-0.9800,-0.1890,0.7380,0.0,
4.179,0.5588,0.8103,0.8103,1.2483,1.1100,-0.1770,0.5430,0.0,
4.199,0.3980,0.7629,0.7629,1.7435,1.6890,-0.0450,0.4300,0.0,
4.219,0.1420,0.9210,0.9210,0.9370,0.8500,0.0890,0.3840,0.0,
4.240,0.1941,1.0462,1.0462,0.2886,-0.0240,0.1600,0.2390,0.0,
4.261,0.0320,0.9695,0.9695,0.2529,0.0650,0.1330,0.2050,0.0,
4.280,0.2068,0.9180,0.9180,0.8553,0.8160,0.1410,0.2140,0.0,
4.300,0.2365,0.8368,0.8368,1.0596,1.0420,0.1920,0.0070,0.0,
4.320,0.1321,0.9002,0.9002,0.7306,0.7250,0.0840,-0.0320,0.0,
4.340,0.1068,0.9705,0.9705,0.3303,0.3220,-0.0680,-0.0280,0.0,
4.362,0.0994,0.9825,0.9825,0.1524,0.0240,-0.1380,-0.0600,0.0,
4.380,0.1290,0.9608,0.9608,0.4445,0.3290,-0.2580,-0.1510,0.0,
4.400,0.2790,0.9210,0.9210,0.5799,0.4350,-0.3550,-0.1450,0.0,
4.420,0.2385,0.9854,0.9854,0.4978,-0.2660,-0.4070,-0.1070,0.0,
4.441,0.1950,1.0175,1.0175,1.1110,-1.0160,-0.3750,-0.2480,0.0,
4.462,0.2022,0.9279,0.9279,1.1548,-1.0570,-0.4510,-0.1140,0.0,
4.480,0.2583,0.8634,0.8634,0.6731,-0.3590,-0.5470,-0.1580,0.0,
4.500,0.2791,0.9600,0.9600,0.6629,0.0360,-0.6310,-0.2000,0.0,
4.521,0.2469,1.0099,1.0099,0.7629,-0.0780,-0.7340,-0.1930,0.0,
4.540,0.1462,1.0163,1.0163,0.7602,-0.3270,-0.6490,-0.2230,0.0,
4.562,0.1108,0.9479,0.9479,0.7870,-0.4920,-0.5570,-0.2590,0.0,
4.581,0.0966,0.9550,0.9550,0.6419,-0.3050,-0.5330,-0.1870,0.0,
4.600,0.1057,0.9785,0.9785,0.5712,-0.2090,-0.5120,-0.1430,0.0,
4.620,0.0282,1.0043,1.0043,0.5253,-0.2960,-0.4190,-0.1130,0.0,
4.641,0.0402,1.0133,1.0133,0.3971,-0.1810,-0.3490,-0.0560,0.0,
4.662,0.0824,1.0466,1.0466,0.3712,0.0290,-0.3640,0.0670,0.0,
4.681,0.1503,1.0886,1.0886,0.4388,-0.0560,-0.4260,0.0890,0.0,
4.701,0.1270,1.0890,1.0890,0.4480,-0.0650,-0.4340,0.0900,0.0,
4.721,0.1712,1.0684,1.0684,0.4739,0.0950,-0.4640,-0.0150,0.0,
4.742,0.1620,1.0931,1.0931,0.5232,0.0960,-0.5140,-0.0180,0.0,
4.760,0.1270,1.0905,1.0905,0.6046,0.0820,-0.5990,0.0080,0.0,
4.781,0.0934,1.0456,1.0456,0.6381,-0.0360,-0.6370,0.0100,0.0,
4.800,0.1081,0.9893,0.9893,0.6358,0.0020,-0.6350,-0.0320,0.0,
4.821,0.1280,0.9618,0.9618,0.6190,0.1250,-0.6020,-0.0720,0.0,
4.842,0.1091,0.9902,0.9902,0.5735,0.0940,-0.5580,-0.0930,0.0,
4.862,0.0997,0.9924,0.9924,0.5215,0.0620,-0.5090,-0.0950,0.0,
4.881,0.0978,0.9842,0.9842,0.4936,-0.0410,-0.4870,-0.0690,0.0,
4.902,0.0839,0.9734,0.9734,0.4312,-0.0440,-0.4250,-0.0580,0.0,
4.922,0.0874,0.9534,0.9534,0.3778,0.0840,-0.3670,0.0320,0.0,
4.941,0.0571,0.9797,0.9797,0.2987,0.0690,-0.2800,0.0780,0.0,
4.963,0.0540,0.9727,0.9727,0.2596,0.1290,-0.2070,0.0890,0.0,
4.984,0.0619,0.9589,0.9589,0.3683,0.3060,-0.1280,0.1600,0.0,
5.001,0.0427,0.9590,0.9590,0.3317,0.2620,-0.0470,0.1980,0.0,
5.021,0.0122,0.9900,0.9900,0.2940,0.1540,-0.0270,0.2490,0.0,
5.042,0.0364,0.9795,0.9795,0.3732,0.2020,-0.0220,0.3130,0.0,
5.064,0.0386,0.9900,0.9900,0.3647,0.1390,-0.0090,0.3370,0.0,
5.083,0.0892,0.9656,0.9656,0.4348,0.2340,-0.0180,0.3660,0.0,
5.101,0.1407,0.9646,0.9646,0.5952,0.4440,-0.0160,0.3960,0.0,
5.121,0.1296,0.9704,0.9704,0.5936,0.4460,-0.0230,0.3910,0.0,
5.142,0.1349,0.9242,0.9242,0.5159,0.3880,0.0010,0.3400,0.0,
5.163,0.2058,0.8926,0.8926,0.5287,0.4160,0.0290,0.3250,0.0,
5.182,0.2390,0.8711,0.8711,0.5062,0.3930,0.0510,0.3150,0.0,
5.202,0.2183,0.9116,0.9116,0.3926,0.2630,0.0610,0.2850,0.0,
5.222,0.2158,0.9350,0.9350,0.3113,0.0740,0.0290,0.3010,0.0,
5.241,0.1803,0.9343,0.9343,0.3020,-0.2040,0.0580,0.2150,0.0,
5.263,0.2056,0.9445,0.9445,0.2107,-0.1830,0.0810,0.0660,0.0,
5.288,0.1918,1.0680,1.0680,0.1980,-0.1490,0.1290,-0.0190,0.0,
5.302,0.1690,1.0917,1.0917,0.2521,-0.1770,0.1410,-0.1110,0.0,
5.322,0.0845,1.0288,1.0288,0.2381,-0.0110,0.1600,-0.1760,0.0,
5.342,0.0601,1.0371,1.0371,0.2502,0.1760,0.1110,-0.1390,0.0,1009.49
5.364,0.1141,1.0762,1.0762,0.1546,0.1140,0.0620,-0.0840,0.0,1009.49
5.382,0.1502,1.0986,1.0986,0.1098,-0.0380,0.0610,-0.0830,0.0,1009.49
5.402,0.1956,1.1248,1.1248,0.1027,-0.0970,0.0290,-0.0170,0.0,1009.49
5.422,0.2301,1.1056,1.1056,0.0649,-0.0520,-0.0220,0.0320,0.0,1009.49
5.442,0.2689,1.1367,1.1367,0.1207,0.0440,-0.0660,0.0910,0.0,1009.49
5.465,0.2375,1.1274,1.1274,0.1148,-0.0030,-0.0700,0.0910,0.0,1009.49
5.482,0.1629,1.0827,1.0827,0.1456,0.1160,-0.0030,0.0880,0.0,1009.49
5.502,0.1174,1.0723,1.0723,0.2080,0.1370,0.0480,0.1490,0.0,1009.49
5.522,0.1576,1.0919,1.0919,0.2675,-0.0230,0.1330,0.2310,0.0,1009.49
5.542,0.1495,1.0853,1.0853,0.3755,-0.1880,0.1600,0.2830,0.0,1009.49
5.570,0.1495,1.0803,1.0803,0.4545,-0.2250,0.1530,0.3640,0.0,1009.49
5.583,0.1666,1.0693,1.0693,0.5303,-0.2560,0.1360,0.4440,0.0,1009.49
5.602,0.1662,1.0404,1.0404,0.5149,-0.2760,0.1630,0.4030,0.0,1009.49
5.622,0.1474,0.9991,0.9991,0.4333,-0.1000,0.1500,0.3940,0.0,1009.49
5.643,0.1566,0.9814,0.9814,0.4128,-0.0110,0.0840,0.4040,0.0,1009.49
5.665,0.1355,0.9555,0.9555,0.3775,-0.0870,0.0150,0.3670,0.0,1009.49
5.683,0.1275,0.9376,0.9376,0.3907,-0.1360,-0.0560,0.3620,0.0,1009.49
5.703,0.1207,0.9109,0.9109,0.4604,-0.2800,-0.1290,0.3420,0.0,1009.49
5.723,0.1282,0.8736,0.8736,0.5986,-0.5050,-0.1540,0.2820,0.0,1009.49
5.742,0.1477,0.8550,0.8550,0.7015,-0.6400,-0.2060,0.2000,0.0,1009.49
5.765,0.1586,0.8482,0.8482,0.7002,-0.6100,-0.2650,0.2190,0.0,1009.49
5.784,0.1491,0.8531,0.8531,0.7789,-0.6920,-0.3040,0.1880,0.0,1009.49
5.802,0.1412,0.8589,0.8589,0.8647,-0.7710,-0.3540,0.1670,0.0,1009.49
5.822,0.1452,0.8558,0.8558,0.7766,-0.6730,-0.3750,0.0980,0.0,1009.49
5.842,0.1489,0.8581,0.8581,0.7297,-0.6210,-0.3770,0.0690,0.0,1009.49
5.864,0.1150,0.8893,0.8893,0.6390,-0.5410,-0.3360,0.0520,0.0,1009.49
5.883,0.0793,0.9238,0.9238,0.5828,-0.5050,-0.2870,0.0480,0.0,1009.49
5.904,0.0798,0.9222,0.9222,0.4826,-0.4430,-0.1900,-0.0230,0.0,1009.49
5.923,0.0682,0.9458,0.9458,0.2850,-0.2520,-0.1120,-0.0720,0.0,1009.49
5.942,0.1034,0.9923,0.9923,0.2437,-0.1760,-0.0560,-0.1590,0.0,1009.49
5.964,0.1652,1.0296,1.0296,0.2538,-0.0900,-0.0330,-0.2350,0.0,1009.49
5.983,0.2185,1.0391,1.0391,0.3386,-0.1470,-0.0430,-0.3020,0.0,1009.49
6.003,0.1691,1.0062,1.0062,0.3295,-0.1450,-0.0330,-0.2940,0.0,1009.49
6.023,0.2139,1.0754,1.0754,0.3713,-0.2410,0.0150,-0.2820,0.0,1009.49
6.043,0.2112,1.1565,1.1565,0.3109,-0.1860,0.0500,-0.2440,0.0,1009.49
