t,message
-1783895267.822,"30310.193:SYNC marker: three watch haptic taps; 30310.198:Absolute altitude acquisition: onDemand (stream off until a jump window opens)"
-1783895218.477,"30361.374:v14 REJECT(candidate) reason=gpsSpeedBelowRiding spd=0.53"
-1783895213.468,"30366.378:v14 REJECT(candidate) reason=takeoffTurbulence gyro=11.21 load=1.29"
-1783895210.964,"30368.369:v14 REJECT(candidate) reason=gpsSpeedBelowRiding spd=0.52"
-1783894990.523,"30588.365:v14 REJECT(candidate) reason=gpsSpeedBelowRiding spd=0.47"
-1783894790.146,"30788.376:v14 absoluteWindow OPEN reason=takeoff t=30787.60; 30788.376:v14 CANDIDATE takeoff=30787.60 baseline=n/a pop=true; 30788.378:v14 TOUCHDOWN impact=2.29g air=0.69"
-1783894787.642,"30791.370:v14 RELSPIKE skip delta=-64.97 n=1"
-1783894786.389,"30793.372:v14 RELSPIKE skip delta=-68.96 n=2"
-1783894783.885,"30794.373:v14 absoluteWindow CLOSE reason=confirmTimeout; 30794.375:v14 REJECT reason=belowMinRise h=0.58 min=1.00 src=ballistic via=confirmTimeout; 30794.375:Absolute altitude window closed (confirmTimeout)"
-1783894782.633,"30796.371:v14 RELSPIKE reaccept level=-31.52 after=3"
-1783894781.381,"30798.375:v14 RELSPIKE skip delta=25.45 n=1"
-1783894777.624,"30801.374:v14 RELSPIKE skip delta=24.87 n=2"
-1783894776.372,"30803.373:v14 RELSPIKE reaccept level=-7.65 after=3"
-1783894679.937,"30899.375:v14 absoluteWindow OPEN reason=takeoff t=30898.14; 30899.375:v14 CANDIDATE takeoff=30898.14 baseline=-3.99 pop=true; 30899.378:v14 TOUCHDOWN loadReturn air=0.69"
-1783894673.677,"30905.376:v14 absoluteWindow CLOSE reason=confirmTimeout; 30905.376:v14 REJECT reason=belowMinRise h=0.58 min=1.00 src=ballistic via=confirmTimeout; 30905.378:Absolute altitude window closed (confirmTimeout)"
-1783894664.882,"30914.374:v14 REJECT(candidate) reason=gpsSpeedBelowRiding spd=2.27"
-1783894641.091,"30938.368:v14 absoluteWindow OPEN reason=takeoff t=30937.49; 30938.368:v14 CANDIDATE takeoff=30937.49 baseline=-10.42 pop=true; 30938.368:v14 TOUCHDOWN impact=1.94g air=0.40"
-1783894639.839,"30939.377:v14 RELSPIKE skip delta=-36.56 n=1"
-1783894637.334,"30942.370:v14 RELSPIKE skip delta=-67.07 n=2"
-1783894634.830,"30944.369:v14 RELSPIKE reaccept level=-64.56 after=3; 30944.369:v14 absoluteWindow CLOSE reason=confirmTimeout; 30944.369:v14 REJECT reason=airtimeTooShort air=0.40 via=confirmTimeout; 30944.377:Absolute altitude window closed (confirmTimeout)"
-1783894632.326,"30947.373:v14 RELSPIKE skip delta=58.03 n=1"
-1783894629.822,"30949.379:v14 RELSPIKE skip delta=58.16 n=2"
-1783894627.317,"30951.370:v14 REJECT(candidate) reason=takeoffTurbulence gyro=8.09 load=1.84; 30952.369:v14 RELSPIKE reaccept level=-6.41 after=3"
-1783894592.247,"30986.378:v14 absoluteWindow OPEN reason=takeoff t=30985.36; 30986.378:v14 CANDIDATE takeoff=30985.36 baseline=-2.03 pop=true; 30986.378:v14 TOUCHDOWN impact=2.06g air=0.39"
-1783894587.238,"30992.366:v14 absoluteWindow CLOSE reason=confirmTimeout; 30992.366:v14 REJECT reason=airtimeTooShort air=0.39 via=confirmTimeout"
-1783894585.986,"30992.369:Absolute altitude window closed (confirmTimeout)"
-1783894575.969,"31003.370:v14 absoluteWindow OPEN reason=takeoff t=31002.18; 31003.371:v14 CANDIDATE takeoff=31002.18 baseline=n/a pop=true"
-1783894574.717,"31003.380:v14 TOUCHDOWN impact=2.01g air=0.63"
-1783894569.708,"31009.375:v14 absoluteWindow CLOSE reason=confirmTimeout; 31009.376:v14 REJECT reason=belowMinRise h=0.49 min=1.00 src=ballistic via=confirmTimeout; 31009.378:Absolute altitude window closed (confirmTimeout)"
-1783894564.699,"31014.370:v14 RELSPIKE skip delta=11.30 n=1"
-1783894563.447,"31016.370:v14 RELSPIKE skip delta=15.80 n=2"
-1783894559.691,"31019.371:v14 RELSPIKE reaccept level=5.75 after=3"
-1783894502.071,"31076.412:JumpDetector(v14) endSession flush lateJumps=0"
