183.591	186.541	1.68	2.95	ballistic	18.06	3.87	2.53	0.55	0.77	true	50
234.346	236.656	1.70	2.31	ballistic	10.61	3.09	3.39	0.54	0.79	true	50
295.971	298.291	1.67	2.32	ballistic	7.47	3.99	2.90	0.59	0.75	true	50
348.356	351.096	1.76	2.74	ballistic	14.80	4.39	3.14	0.52	0.88	true	50
395.286	398.286	1.61	3.00	ballistic	16.38	5.48	2.86	0.56	0.65	true	50
446.533	449.073	1.61	2.54	ballistic	22.06	3.10	2.32	0.60	0.66	true	50
459.638	463.948	1.65	4.31	ballistic	39.90	1.44	2.07	0.41	0.72	true	50
515.743	516.953	1.41	1.21	ballistic	11.99	2.32	2.45	0.40	0.33	true	50
530.695	535.695	1.79	5.00	ballistic	32.20	3.69	0.00	0.51	0.94	false	35
566.090	571.160	1.60	5.07	ballistic	32.21	1.37	3.08	0.40	0.64	true	50
666.549	669.249	1.89	2.70	ballistic	19.83	3.91	2.63	0.56	1.10	true	50
736.074	738.354	1.52	2.28	ballistic	10.51	5.27	2.77	0.55	0.52	true	50
799.185	802.365	2.55	3.18	ballistic	17.12	5.87	3.42	0.56	2.15	true	50
863.331	865.991	2.10	2.66	ballistic	13.84	3.87	2.15	0.45	1.44	true	50
932.280	934.480	1.96	2.20	ballistic	9.93	2.54	4.38	0.59	1.21	true	50
940.350	943.380	2.03	3.03	ballistic	25.07	1.40	3.71	0.37	1.32	true	50
1018.343	1020.273	2.05	1.93	ballistic	8.98	3.51	3.02	0.56	1.35	true	50
1066.194	1072.104	1.77	5.91	ballistic	67.00	1.42	2.05	0.45	0.91	true	50
1130.465	1132.805	1.61	2.34	ballistic	11.46	4.78	2.57	0.62	0.65	true	50
1226.915	1231.915	1.70	5.00	ballistic	33.55	4.32	0.00	0.36	0.53	false	35
1297.076	1302.036	1.93	4.96	ballistic	7.36	2.17	2.41	0.43	1.17	true	50
1354.372	1356.612	1.62	2.24	ballistic	13.57	2.36	2.12	0.60	0.67	true	50
1361.484	1367.134	1.92	5.65	ballistic	42.56	1.38	1.93	0.39	0.54	true	50
1419.930	1421.980	2.22	2.05	ballistic	9.07	2.37	10.05	0.45	1.62	true	50
1451.292	1453.712	2.09	2.42	ballistic	7.34	2.79	5.55	0.60	1.41	true	50
1544.463	1547.253	1.84	2.79	ballistic	10.56	3.11	2.11	0.55	1.02	true	50
1704.861	1708.071	1.89	3.21	ballistic	12.05	3.10	2.04	0.57	1.10	true	50
1735.835	1737.625	1.86	1.79	ballistic	8.40	2.16	2.92	0.52	1.05	true	50
1800.704	1802.914	2.17	2.21	ballistic	11.48	3.12	2.90	0.51	1.55	true	50
1833.765	1836.675	1.77	2.91	ballistic	21.25	4.37	2.34	0.44	0.90	true	50
1900.319	1902.299	2.05	1.98	ballistic	5.72	2.42	4.77	0.49	1.35	true	50
1956.483	1961.903	1.48	5.42	ballistic	47.73	1.26	1.93	0.38	0.44	true	50
1967.474	1972.094	1.73	4.62	ballistic	17.68	1.35	1.91	0.40	0.84	true	50
