t,message
-1785059645.108,"6319.936:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6320.696:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.07; 6320.927:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6321.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.08"
-1785059643.856,"6321.929:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6322.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.08"
-1785059642.604,"6322.920:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6323.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.08"
-1785059641.352,"6323.921:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6324.689:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.08"
-1785059640.100,"6324.923:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6325.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.08; 6325.916:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059638.848,"6326.700:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.08; 6326.917:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6327.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.05"
-1785059637.596,"6327.919:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6328.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.05"
-1785059636.344,"6328.983:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059635.092,"6330.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.10; 6330.915:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059633.840,"6331.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.10; 6331.905:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059632.587,"6332.692:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.10; 6332.907:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059631.335,"6333.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.10; 6333.909:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6334.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.15"
-1785059630.083,"6334.901:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6335.787:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.15; 6335.901:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059628.831,"6336.693:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.42; 6336.894:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059627.579,"6337.691:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.42; 6337.895:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6338.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.79"
-1785059626.327,"6338.899:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6339.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.79"
-1785059625.075,"6339.890:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6340.691:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.79; 6340.891:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059623.823,"6341.761:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.53; 6341.894:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059622.571,"6342.699:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.43; 6342.884:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059621.319,"6343.696:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.39; 6343.886:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6344.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.39"
-1785059620.066,"6344.887:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6345.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.39; 6345.879:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059618.814,"6346.689:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.12; 6346.930:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059617.562,"6347.699:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.12; 6347.882:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059616.310,"6348.692:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=1.12; 6348.874:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
