t,message
-1783873654.232,"886.043:Absolute altitude watchdog restart: valueFrozen unchanged=11.6s relativeDelta=10.28m attempt=3; 886.043:v13 altitudeStreamReset reason=acquisitionRestart valueFrozen unchanged=11.6s relativeDelta=10.28m attempt=3; 886.589:v13 REJECT(candidate) reason=sensorWarmup"
-1783873646.233,"894.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873642.236,"898.419:Absolute altitude watchdog exhausted restarts; relativeDelta=33.22m"
-1783873479.236,"1061.584:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783873478.235,"1062.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.07"
-1783873477.235,"1063.587:v13 REJECT(candidate) reason=shortWindowRise rise=0.08"
-1783873476.234,"1064.587:v13 REJECT(candidate) reason=shortWindowRise rise=0.09"
-1783873475.234,"1065.588:v13 REJECT(candidate) reason=shortWindowRise rise=0.11"
-1783873474.233,"1066.595:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873473.233,"1067.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873472.232,"1068.592:v13 REJECT(candidate) reason=shortWindowRise rise=-0.05"
-1783873471.212,"1069.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.08"
-1783873470.236,"1070.586:v13 REJECT(candidate) reason=shortWindowRise rise=-0.09"
-1783873469.235,"1071.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.10"
-1783873468.235,"1072.588:v13 REJECT(candidate) reason=shortWindowRise rise=-0.12"
-1783873467.234,"1073.584:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873461.236,"1079.590:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873460.235,"1080.587:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873459.235,"1081.588:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783873458.234,"1082.602:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873448.234,"1092.137:Absolute altitude watchdog restart: valueFrozen unchanged=10.5s relativeDelta=1.46m attempt=1; 1092.138:v13 altitudeStreamReset reason=acquisitionRestart valueFrozen unchanged=10.5s relativeDelta=1.46m attempt=1; 1092.587:v13 REJECT(candidate) reason=sensorWarmup"
-1783873440.235,"1100.592:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873438.233,"1102.419:Absolute altitude watchdog restart: valueFrozen unchanged=10.3s relativeDelta=1.65m attempt=2; 1102.419:v13 altitudeStreamReset reason=acquisitionRestart valueFrozen unchanged=10.3s relativeDelta=1.65m attempt=2; 1102.579:v13 REJECT(candidate) reason=sensorWarmup"
-1783873429.234,"1111.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873426.232,"1114.136:Absolute altitude watchdog restart: valueFrozen unchanged=11.7s relativeDelta=0.83m attempt=3; 1114.136:v13 altitudeStreamReset reason=acquisitionRestart valueFrozen unchanged=11.7s relativeDelta=0.83m attempt=3; 1114.583:v13 REJECT(candidate) reason=sensorWarmup"
-1783873418.233,"1122.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873414.236,"1126.132:Absolute altitude watchdog exhausted restarts; relativeDelta=1.68m"
-1783873205.234,"1335.575:v13 REJECT(candidate) reason=baselineNotReady"
-1783873202.232,"1338.577:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873174.236,"1366.591:v13 REJECT(candidate) reason=shortWindowRise rise=0.04"
-1783873173.235,"1367.592:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873172.235,"1368.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783873171.234,"1369.588:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873170.234,"1370.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.07"
-1783873169.233,"1371.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.10"
-1783873168.232,"1372.575:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873167.232,"1373.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783873166.236,"1374.589:v13 REJECT(candidate) reason=shortWindowRise rise=-0.08"
-1783873165.236,"1375.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.11"
-1783873164.235,"1376.585:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873159.232,"1381.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.04"
-1783873158.232,"1382.590:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873157.236,"1383.592:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873156.236,"1384.590:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873155.235,"1385.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.13"
-1783873153.234,"1387.586:v13 REJECT(candidate) reason=shortWindowRise rise=0.10"
-1783873152.233,"1388.591:v13 REJECT(candidate) reason=shortWindowRise rise=0.07"
